Date,Open,High,Low,Close,Adj Close,Volume
1997-06-01,0.075521,0.085417,0.06875,0.077083,0.077083,1063272000
1997-07-01,0.077083,0.128646,0.075521,0.119792,0.119792,2172288000
1997-08-01,0.117188,0.120833,0.096875,0.116927,0.116927,638136000
1997-09-01,0.117188,0.240625,0.115625,0.216927,0.216927,2157240000
1997-10-01,0.221875,0.275,0.176042,0.254167,0.254167,2103744000
1997-11-01,0.260938,0.260938,0.183333,0.20625,0.20625,1355952000
1997-12-01,0.211979,0.252083,0.206771,0.251042,0.251042,1299648000
1998-01-01,0.25,0.267188,0.207292,0.245833,0.245833,2241600000
1998-02-01,0.247396,0.331771,0.238542,0.320833,0.320833,2612424000
1998-03-01,0.316146,0.367708,0.291667,0.35638,0.35638,4136376000
1998-04-01,0.355208,0.416667,0.321354,0.382292,0.382292,7097376000
1998-05-01,0.386458,0.399479,0.332292,0.367188,0.367188,3497400000
1998-06-01,0.366667,0.872917,0.34375,0.83125,0.83125,11677572000
1998-07-01,0.848438,1.225,0.785417,0.923958,0.923958,13278936000
1998-08-01,0.914583,1.145833,0.692708,0.697917,0.697917,8812152000
1998-09-01,0.634375,1,0.541667,0.930208,0.930208,13556712000
1998-10-01,0.9,1.081771,0.666667,1.053646,1.053646,10088892000
1998-11-01,1.067708,1.942708,1.00625,1.6,1.6,13035792000
1998-12-01,1.545833,3.015625,1.516667,2.677083,2.677083,14484360000
1999-01-01,2.730729,4.978125,2.314063,2.923438,2.923438,12926976000
1999-02-01,2.94375,3.25,2.10625,3.203125,3.203125,6362920000
1999-03-01,3.175,4.45,2.85,4.304688,4.304688,6620200000
1999-04-01,4.484375,5.53125,3.775,4.301563,4.301563,7265708000
1999-05-01,4.171875,4.176563,2.6125,2.96875,2.96875,6075356000
1999-06-01,2.7875,3.2375,2.24375,3.128125,3.128125,7294948000
1999-07-01,3.13125,3.5625,2.4375,2.501563,2.501563,7773008000
1999-08-01,2.459375,3.389063,2.05,3.109375,3.109375,9181716000
1999-09-01,3.175,4.25,2.86875,3.996875,3.996875,6432336000
1999-10-01,3.85,4.5,3.29375,3.53125,3.53125,5086230000
1999-11-01,3.403125,4.84375,3.05,4.253125,4.253125,5621404000
1999-12-01,4.3625,5.65,3.8,3.80625,3.80625,4929522000
2000-01-01,4.075,4.575,2.921875,3.228125,3.228125,5244180000
2000-02-01,3.375,4.296875,3.153125,3.44375,3.44375,4149154000
2000-03-01,3.38125,3.7625,3,3.35,3.35,3131692000
2000-04-01,3.271875,3.43125,2.040625,2.759375,2.759375,3240250000
2000-05-01,2.8,3.11875,2.021875,2.415625,2.415625,2613772000
2000-06-01,2.44375,2.90625,1.623438,1.815625,1.815625,4062818000
2000-07-01,1.834375,2.196875,1.39375,1.50625,1.50625,3970492000
2000-08-01,1.53125,2.198438,1.465625,2.075,2.075,2889294000
2000-09-01,2.10625,2.48125,1.775,1.921875,1.921875,2674794000
2000-10-01,1.909375,1.921875,0.96875,1.83125,1.83125,4934670000
2000-11-01,1.790625,2.04375,1.10625,1.234375,1.234375,3186778000
2000-12-01,1.246875,1.38125,0.74375,0.778125,0.778125,4042258000
2001-01-01,0.790625,1.11875,0.678125,0.865625,0.865625,4209736000
2001-02-01,0.859375,0.859375,0.496875,0.509375,0.509375,3347482000
2001-03-01,0.49375,0.7,0.478125,0.5115,0.5115,3352718000
2001-04-01,0.5165,0.908,0.405,0.789,0.789,3795608000
2001-05-01,0.795,0.88,0.655,0.8345,0.8345,2893734000
2001-06-01,0.861,0.896,0.56,0.7075,0.7075,2733918000
2001-07-01,0.705,0.871,0.5535,0.6245,0.6245,3441574000
2001-08-01,0.6365,0.643,0.4275,0.447,0.447,2013746000
2001-09-01,0.4475,0.4595,0.2835,0.2985,0.2985,2536868000
2001-10-01,0.2955,0.4995,0.2755,0.349,0.349,3397656000
2001-11-01,0.354,0.62,0.33,0.566,0.566,6219306000
2001-12-01,0.551,0.64,0.4755,0.541,0.541,4249110000
2002-01-01,0.5465,0.7885,0.4515,0.7095,0.7095,6454784000
2002-02-01,0.7035,0.7375,0.553,0.705,0.705,3279778000
2002-03-01,0.7065,0.848,0.6775,0.715,0.715,3296356000
2002-04-01,0.714,0.8525,0.626,0.8345,0.8345,3179172000
